[2025-08-23 01:28:15] [INFO    ] discord.client: logging in using static token
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1408703506734383206', 'username': 'FoxBot', 'avatar': 'eae3152826f1780850264b03e46fc67d', 'discriminator': '5375', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-23 01:28:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1408703506734383206', 'name': 'FoxBot', 'icon': 'eae3152826f1780850264b03e46fc67d', 'description': "Foxx's experimental bot", 'type': None, 'bot': {'id': '1408703506734383206', 'username': 'FoxBot', 'avatar': 'eae3152826f1780850264b03e46fc67d', 'discriminator': '5375', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '286210b91f092b288cc4a6faa3935d175b48e1bd642a711224d6017fb6fc9f3d', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '716097126215450654', 'username': 'itsthefox_', 'avatar': 'c7b657fc395b3263cc1547bd4db725d8', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'a_1c856e124d8750dd5da1f0bdb841ed61', 'accent_color': 15600208, 'global_name': 'itsthefox_', 'avatar_decoration_data': {'asset': 'a_7d305bca6cf371df98c059f9d2ef05e4', 'sku_id': '1157407831348228141', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'asset': 'nameplates/nameplates/cityscape/', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#ee0a50', 'clan': {'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'tag': 'FOXX', 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}, 'primary_guild': {'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'tag': 'FOXX', 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-23 01:28:15] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-23 01:28:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-qd2n",{"micros":0.0}]']}}
[2025-08-23 01:28:15] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-23 01:28:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-23 01:28:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'FoxBot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1408703506734383206', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5375', 'clan': None, 'bot': True, 'avatar': 'eae3152826f1780850264b03e46fc67d'}, 'session_type': 'normal', 'session_id': 'e5eb02c6a9fc440b9827a40f5cf87a9d', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1408705057574223997'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-west', 'oregon', 'us-central', 'santa-clara'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1408703506734383206', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-qd2n",{"micros":115318,"calls":["id_created",{"micros":805,"calls":[]},"session_lookup_time",{"micros":404,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-64",{"micros":113864,"calls":["start_session",{"micros":72392,"calls":["discord-api-prd-canary-rpc-58545cb684-fmjqs",{"micros":54896,"calls":["get_user",{"micros":6624},"get_guilds",{"micros":2868},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":7733},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":9598},"apex_experiments",{"micros":2164},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":9038,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":32316,"calls":[]},"connect_finished",{"micros":32320,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-23 01:28:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:16] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e5eb02c6a9fc440b9827a40f5cf87a9d).
[2025-08-23 01:28:16] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-23 01:28:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'roles': [{'version': 1755931858391, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1408705057574223997', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755933364527, 'unicode_emoji': None, 'tags': {'bot_id': '1408703506734383206'}, 'position': 2, 'permissions': '2815076453444672', 'name': 'FoxBot', 'mentionable': False, 'managed': True, 'id': '1408705171567149079', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755933364642, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'sigma', 'mentionable': False, 'managed': False, 'id': '1408711338787864707', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'rules_channel_id': None, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'soundboard_sounds': [], 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'splash': None, 'stickers': [], 'profile': None, 'vanity_url_code': None, 'afk_channel_id': None, 'application_command_counts': {}, 'public_updates_channel_id': None, 'banner': None, 'system_channel_id': '1408705058383728672', 'latest_onboarding_question_id': None, 'application_id': None, 'id': '1408705057574223997', 'moderator_reporting': None, 'icon': None, 'name': 'bot testing', 'guild_scheduled_events': [], 'inventory_settings': None, 'discovery_splash': None, 'premium_tier': 0, 'hub_type': None, 'joined_at': '2025-08-23T06:51:25.479750+00:00', 'threads': [], 'preferred_locale': 'en-US', 'region': 'deprecated', 'owner_id': '716097126215450654', 'members': [{'user': {'username': 'FoxBot', 'public_flags': 0, 'primary_guild': None, 'id': '1408703506734383206', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5375', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'eae3152826f1780850264b03e46fc67d'}, 'roles': ['1408705171567149079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:51:25.479750+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'description': None, 'max_members': 25000000, 'nsfw_level': 0, 'channels': [{'version': 1755931858394, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1408705058383728670', 'flags': 0}, {'version': 1755931858397, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1408705058383728671', 'flags': 0}, {'version': 1755931858401, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1408705058383728670', 'name': 'general', 'last_message_id': '1408713892124688386', 'id': '1408705058383728672', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1755931858407, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1408705058383728671', 'name': 'General', 'last_message_id': None, 'id': '1408705058383728673', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'afk_timeout': 300, 'nsfw': False, 'features': [], 'lazy': True, 'presences': [], 'premium_subscription_count': 0, 'large': False, 'safety_alerts_channel_id': None, 'owner_configured_content_level': 0, 'premium_features': None, 'stage_instances': [], 'verification_level': 0, 'emojis': [], 'incidents_data': None, 'version': 1755933353023, 'premium_progress_bar_enabled': False, 'member_count': 2, 'max_video_channel_users': 25, 'home_header': None, 'embedded_activities': [], 'activity_instances': [], 'voice_states': [], 'mfa_level': 0, 'unavailable': False}}
[2025-08-23 01:28:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '8af35c8d0dc4d4d9861f334d1de82342', 'members': [{'user': {'username': 'itsthefox_', 'public_flags': 128, 'primary_guild': {'tag': 'FOXX', 'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}, 'id': '716097126215450654', 'global_name': 'itsthefox_', 'display_name_styles': None, 'display_name': 'itsthefox_', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'palette': 'violet', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/cityscape/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1157407831348228141', 'expires_at': None, 'asset': 'a_7d305bca6cf371df98c059f9d2ef05e4'}, 'avatar': 'c7b657fc395b3263cc1547bd4db725d8'}, 'roles': ['1408711338787864707'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:50:58.286000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FoxBot', 'public_flags': 0, 'primary_guild': None, 'id': '1408703506734383206', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5375', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'eae3152826f1780850264b03e46fc67d'}, 'roles': ['1408705171567149079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:51:25.479750+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1408705057574223997', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-23 01:28:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:16] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1408705057574223997.
[2025-08-23 01:28:18] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-23 01:28:18] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-23 01:28:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '716097126215450654', 'timestamp': 1755934101, 'member': {'user': {'username': 'itsthefox_', 'public_flags': 128, 'primary_guild': {'tag': 'FOXX', 'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}, 'id': '716097126215450654', 'global_name': 'itsthefox_', 'display_name_styles': None, 'display_name': 'itsthefox_', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'palette': 'violet', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/cityscape/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1157407831348228141', 'expires_at': None, 'asset': 'a_7d305bca6cf371df98c059f9d2ef05e4'}, 'avatar': 'c7b657fc395b3263cc1547bd4db725d8'}, 'roles': ['1408711338787864707'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:50:58.286000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1408705058383728672', 'guild_id': '1408705057574223997'}}
[2025-08-23 01:28:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:21] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-23 01:28:21] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-23 01:28:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-23T07:28:22.656000+00:00', 'pinned': False, 'nonce': '1408714468879237120', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1408711338787864707'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:50:58.286000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1408714471505002627', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'foxpoll hi', 'components': [], 'channel_type': 0, 'channel_id': '1408705058383728672', 'author': {'username': 'itsthefox_', 'public_flags': 128, 'primary_guild': {'tag': 'FOXX', 'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}, 'id': '716097126215450654', 'global_name': 'itsthefox_', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'palette': 'violet', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/cityscape/'}}, 'clan': {'tag': 'FOXX', 'identity_guild_id': '1322090695787417610', 'identity_enabled': True, 'badge': 'd2398e868cecf0b4193c02abd9f125c6'}, 'avatar_decoration_data': {'sku_id': '1157407831348228141', 'expires_at': None, 'asset': 'a_7d305bca6cf371df98c059f9d2ef05e4'}, 'avatar': 'c7b657fc395b3263cc1547bd4db725d8'}, 'attachments': [], 'guild_id': '1408705057574223997'}}
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event message
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event command
[2025-08-23 01:28:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-23T07:28:22.797000+00:00', 'pinned': False, 'nonce': '16527111080815070999', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1408705171567149079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:51:25.479750+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1408714472096534588', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1408714472096534589', 'description': 'hi', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1408705058383728672', 'author': {'username': 'FoxBot', 'public_flags': 0, 'primary_guild': None, 'id': '1408703506734383206', 'global_name': None, 'display_name_styles': None, 'discriminator': '5375', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'eae3152826f1780850264b03e46fc67d'}, 'attachments': [], 'guild_id': '1408705057574223997'}}
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event message
[2025-08-23 01:28:22] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1408705058383728672/messages with {"embeds":[{"flags":0,"type":"rich","description":"hi","title":"New Poll"}],"content":null,"components":[],"nonce":"16527111080815070999","enforce_nonce":true,"tts":false} has returned 200
[2025-08-23 01:28:22] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-23 01:28:22] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1408705058383728672/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'hi', 'content_scan_version': 0}], 'timestamp': '2025-08-23T07:28:22.797000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1408714472096534588', 'channel_id': '1408705058383728672', 'author': {'id': '1408703506734383206', 'username': 'FoxBot', 'avatar': 'eae3152826f1780850264b03e46fc67d', 'discriminator': '5375', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16527111080815070999'}
[2025-08-23 01:28:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1408703506734383206', 'type': 0, 'message_id': '1408714472096534588', 'message_author_id': '1408703506734383206', 'member': {'user': {'username': 'FoxBot', 'public_flags': 0, 'primary_guild': None, 'id': '1408703506734383206', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5375', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'eae3152826f1780850264b03e46fc67d'}, 'roles': ['1408705171567149079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-23T06:51:25.479750+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '🦊', 'id': None}, 'channel_id': '1408705058383728672', 'burst': False, 'guild_id': '1408705057574223997'}}
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-23 01:28:22] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-23 01:28:22] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1408705058383728672/messages/1408714472096534588/reactions/%F0%9F%A6%8A/@me with None has returned 204
[2025-08-23 01:28:22] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-08-23 01:28:22] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-23 01:28:22] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1408705058383728672/messages/1408714472096534588/reactions/%F0%9F%A6%8A/@me has received 
